run,model,data_spec,prior_spec,constraint_spec,coefficient,time_index,posterior_mean,ci_2.5,ci_97.5
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_t,107,-0.15577690540879804,-0.41667493693507746,0.08718677273970535
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_t,112,-0.15580400996895033,-0.42198018115823627,0.08553283029549638
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_t,118,-0.15530348398667956,-0.43244372809594267,0.09375842224916758
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_t,123,-0.1543935092252088,-0.4288525748437033,0.09911709395428961
hsa_full_inv_markup_exclude_covid_baseline_20260623_022743,hsa_full,inv_markup_exclude_covid,baseline,unrestricted,kappa_t,0,0.08093316848366296,-0.15211385513348552,0.33302076891229
hsa_full_inv_markup_exclude_covid_baseline_20260623_022743,hsa_full,inv_markup_exclude_covid,baseline,unrestricted,kappa_t,5,0.08063903436750362,-0.15519364999713817,0.32915751987450614
hsa_full_inv_markup_exclude_covid_baseline_20260623_022743,hsa_full,inv_markup_exclude_covid,baseline,unrestricted,kappa_t,11,0.07763081449800069,-0.15715260324213023,0.3205637597099022
hsa_full_inv_markup_exclude_covid_baseline_20260623_022743,hsa_full,inv_markup_exclude_covid,baseline,unrestricted,kappa_t,16,0.07394854597745368,-0.1590809684032313,0.31707417472227617
hsa_full_inv_markup_exclude_covid_baseline_20260623_022743,hsa_full,inv_markup_exclude_covid,baseline,unrestricted,kappa_t,21,0.07178213483747013,-0.16297208195019391,0.32224697137232605
hsa_full_inv_markup_exclude_covid_baseline_20260623_022743,hsa_full,inv_markup_exclude_covid,baseline,unrestricted,kappa_t,27,0.07116976237834458,-0.16382464850598563,0.322920149799558
hsa_full_inv_markup_exclude_covid_baseline_20260623_022743,hsa_full,inv_markup_exclude_covid,baseline,unrestricted,kappa_t,32,0.07068732792824207,-0.16540443668043356,0.32376853432145564
hsa_full_inv_markup_exclude_covid_baseline_20260623_022743,hsa_full,inv_markup_exclude_covid,baseline,unrestricted,kappa_t,37,0.07094419680871927,-0.1653784650420462,0.32534881764867324
hsa_full_inv_markup_exclude_covid_baseline_20260623_022743,hsa_full,inv_markup_exclude_covid,baseline,unrestricted,kappa_t,43,0.0701331348574859,-0.16846755862617574,0.3277804530278048
hsa_full_inv_markup_exclude_covid_baseline_20260623_022743,hsa_full,inv_markup_exclude_covid,baseline,unrestricted,kappa_t,48,0.0700015760114589,-0.16814227538115312,0.3302388014577852
hsa_full_inv_markup_exclude_covid_baseline_20260623_022743,hsa_full,inv_markup_exclude_covid,baseline,unrestricted,kappa_t,53,0.07008516059402325,-0.16775152860350756,0.32874426382935257
hsa_full_inv_markup_exclude_covid_baseline_20260623_022743,hsa_full,inv_markup_exclude_covid,baseline,unrestricted,kappa_t,59,0.07042499526308861,-0.16589532435159296,0.32528145412595977
