run,model,data_spec,prior_spec,constraint_spec,parameter,unit,mean,sd,ci_2.5,ci_97.5
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,corr_e_eps,reported physical units,0.0,0.0,0.0,0.0
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,corr_e_u,reported physical units,0.0,0.0,0.0,0.0
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,corr_e_zeta,reported physical units,-0.06569748262372016,0.10319585327819485,-0.2714049325340587,0.13450085853882504
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,corr_u_eps,reported physical units,0.0,0.0,0.0,0.0
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,kappa,inflation points per x point,0.09300914388880667,0.07103276307030115,0.003505988338471268,0.2627984427125019
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,n,Nbar drift in ten-log-point units,-0.03267756970877089,0.026559118452590603,-0.08059626446125903,0.02151519314925363
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,phi_1,AR(1) coefficient,0.663589197774637,0.0644195155319635,0.5368471835046527,0.7890605351795272
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,rho_1,AR(2) coefficient,0.8993550668855481,0.12738256508135143,0.6089257209792824,1.1123986318741286
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,rho_2,AR(2) coefficient,0.01444387034201819,0.10460043745585422,-0.19142302376702883,0.22902323288075596
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,sigma_N,reported physical units,0.2508595585297267,0.020239179350371263,0.21537141369851762,0.29475635103818637
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,sigma_e,reported physical units,0.6212564754987239,0.043681937497332395,0.5427257353586564,0.7123940778808703
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,sigma_eps,reported physical units,0.20541893368152908,0.02288000497764361,0.1643446541477104,0.2530663556013222
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,sigma_u,reported physical units,0.1925672093832743,0.020114001094002937,0.1562112354250889,0.2355811247435982
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,sigma_zeta,reported physical units,0.48938723169921877,0.03090988963221552,0.4346437295831009,0.5514901658091688
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,theta,inflation effect per +10 log-point Nhat deviation,-0.0011101978957659252,0.2807204248546136,-0.3625915964175353,0.6056871417042949
hsa_dynamic_inv_markup_end_2019_baseline_20260623_021825,hsa_dynamic,inv_markup_end_2019,baseline,unrestricted,Nbar,reported physical units,0.23450538070041088,1.8732946264262622,-2.989270240199992,3.291657568666155
hsa_dynamic_inv_markup_end_2019_baseline_20260623_021825,hsa_dynamic,inv_markup_end_2019,baseline,unrestricted,Nhat,reported physical units,-0.23424488601820706,0.9429490054832519,-2.9184674535442428,1.1762053094878548
hsa_dynamic_inv_markup_end_2019_baseline_20260623_021825,hsa_dynamic,inv_markup_end_2019,baseline,unrestricted,Sigma,reported physical units,0.044077867250026985,0.10869720294850664,-0.03401113470908345,0.40083214069516904
hsa_dynamic_inv_markup_end_2019_baseline_20260623_021825,hsa_dynamic,inv_markup_end_2019,baseline,unrestricted,alpha,share,0.6167168664469436,0.05441003680635333,0.50538690941778,0.7194393587123901
hsa_dynamic_inv_markup_end_2019_baseline_20260623_021825,hsa_dynamic,inv_markup_end_2019,baseline,unrestricted,corr_e_eps,reported physical units,0.0,0.0,0.0,0.0
hsa_dynamic_inv_markup_end_2019_baseline_20260623_021825,hsa_dynamic,inv_markup_end_2019,baseline,unrestricted,corr_e_u,reported physical units,0.0,0.0,0.0,0.0
hsa_dynamic_inv_markup_end_2019_baseline_20260623_021825,hsa_dynamic,inv_markup_end_2019,baseline,unrestricted,corr_e_zeta,reported physical units,-0.007799470064640673,0.12322070245209871,-0.2520916978353407,0.2399669428891932
hsa_dynamic_inv_markup_end_2019_baseline_20260623_021825,hsa_dynamic,inv_markup_end_2019,baseline,unrestricted,corr_u_eps,reported physical units,0.0,0.0,0.0,0.0
hsa_dynamic_inv_markup_end_2019_baseline_20260623_021825,hsa_dynamic,inv_markup_end_2019,baseline,unrestricted,kappa,inflation points per x point,0.008018322082786682,0.11731670081833558,-0.22374595144011272,0.23717762650389004
hsa_dynamic_inv_markup_end_2019_baseline_20260623_021825,hsa_dynamic,inv_markup_end_2019,baseline,unrestricted,n,Nbar drift in ten-log-point units,-0.034394752750710564,0.02654583358419699,-0.08330563338482962,0.020586669753283528
hsa_dynamic_inv_markup_end_2019_baseline_20260623_021825,hsa_dynamic,inv_markup_end_2019,baseline,unrestricted,phi_1,AR(1) coefficient,0.6640712875316095,0.06573429583745578,0.5406152602797981,0.793692759768872
hsa_dynamic_inv_markup_end_2019_baseline_20260623_021825,hsa_dynamic,inv_markup_end_2019,baseline,unrestricted,rho_1,AR(2) coefficient,0.9033361356713913,0.12354802818085846,0.629961853174327,1.1061541143884677
hsa_dynamic_inv_markup_end_2019_baseline_20260623_021825,hsa_dynamic,inv_markup_end_2019,baseline,unrestricted,rho_2,AR(2) coefficient,0.013597524230319617,0.10433051837499585,-0.17639085006455796,0.23625664482408218
hsa_dynamic_inv_markup_end_2019_baseline_20260623_021825,hsa_dynamic,inv_markup_end_2019,baseline,unrestricted,sigma_N,reported physical units,0.25107387986749585,0.02000001368678207,0.21597314354866623,0.2943216260277797
hsa_dynamic_inv_markup_end_2019_baseline_20260623_021825,hsa_dynamic,inv_markup_end_2019,baseline,unrestricted,sigma_e,reported physical units,0.6230545991145052,0.04235032598748455,0.543927388019185,0.7099601306674854
hsa_dynamic_inv_markup_end_2019_baseline_20260623_021825,hsa_dynamic,inv_markup_end_2019,baseline,unrestricted,sigma_eps,reported physical units,0.20455753860610762,0.022750679775908497,0.16476803719044275,0.25294964576568857
hsa_dynamic_inv_markup_end_2019_baseline_20260623_021825,hsa_dynamic,inv_markup_end_2019,baseline,unrestricted,sigma_u,reported physical units,0.19166963718175375,0.020892653181695704,0.1553774979071213,0.23581311915008912
hsa_dynamic_inv_markup_end_2019_baseline_20260623_021825,hsa_dynamic,inv_markup_end_2019,baseline,unrestricted,sigma_zeta,reported physical units,0.4896439290247933,0.030805469732295306,0.4343328961607399,0.5555331875149755
