"date","original_series","trend","cycle"
"2013-01-01","-2.01158500748937","-1.9312166762974947","-0.08036832087962928"
"2013-04-01","-2.0266587037147","-1.9495924916376288","-0.07706628178461242"
"2013-07-01","-2.03543945862973","-1.966893633295531","-0.0685458579764418"
"2013-10-01","-2.06547675067139","-1.9881535346348433","-0.0773231213252397"
"2014-01-01","-2.10038764597668","-2.013121615183844","-0.08726595805834389"
"2014-04-01","-2.1376349535584","-2.040294468573217","-0.09734052402627034"
"2014-07-01","-2.15867008675634","-2.065331098547294","-0.0933390884491661"
"2014-10-01","-2.19074187932408","-2.0924384337774438","-0.09830334364260022"
"2015-01-01","-2.22269403508489","-2.12084124334599","-0.10185267678950811"
"2015-04-01","-2.25452744328058","-2.1521041510103704","-0.10242317938818897"
"2015-07-01","-2.28258948538681","-2.1837196513946826","-0.0988697841827098"
"2015-10-01","-2.32632894555058","-2.2197277378416755","-0.10660125500195217"
"2016-01-01","-2.37225734336086","-2.260056105837394","-0.11220112682862146"
"2016-04-01","-2.41074379134682","-2.3014298154222548","-0.10931389795665153"
"2016-07-01","-2.44427816286277","-2.342995426157586","-0.1012828140462715"
"2016-10-01","-2.47291778498373","-2.384040100610346","-0.08887769457092849"
"2017-01-01","-2.49789914274497","-2.423931371446485","-0.07396768403447186"
"2017-04-01","-2.54410067943275","-2.468844051946677","-0.07525670946689743"
"2017-07-01","-2.56416208370971","-2.5094466928178822","-0.05471532309703489"
"2017-10-01","-2.58652819106752","-2.5476425363199917","-0.038885764919021765"
"2018-01-01","-2.62172462054885","-2.5865850328828834","-0.03513957267741917"
"2018-04-01","-2.6602743817765","-2.6274166484087242","-0.03285761878793118"
"2018-07-01","-2.70097179064222","-2.6697847382986106","-0.03118710351352306"
"2018-10-01","-2.72298396042456","-2.707581633587888","-0.01540244195837648"
"2019-01-01","-2.75416742277293","-2.7441788964247245","-0.009988421919391869"
"2019-04-01","-2.80015746973532","-2.7835672574310175","-0.01659028956605274"
"2019-07-01","-2.82077270392096","-2.818975579698959","-0.0017970681587071236"
"2019-10-01","-2.8447612691843","-2.852503359257608","0.007741987645059151"
"2020-01-01","-2.88345802284959","-2.887530155917848","0.0040720184056409385"
"2020-04-01","-2.92650145849997","-2.9253011580920654","-0.001200354435400312"
"2020-07-01","-2.81505122506985","-2.92384602969523","0.10879471248026416"
"2020-10-01","-2.86754523173201","-2.9399259935574267","0.07238086568877451"
"2021-01-01","-2.94568792628637","-2.972393352800832","0.026705343538747203"
"2021-04-01","-3.05546206054476","-3.025613066275713","-0.02984905568778835"
"2021-07-01","-3.19346893949377","-3.0961516622723777","-0.09731738527400881"
"2021-10-01","-3.3185009179579","-3.173955648079138","-0.14454534755684809"
"2022-01-01","-3.45342917790006","-3.262144965225383","-0.19128425688155085"
"2022-04-01","-3.55377368061169","-3.3535387319266765","-0.20023490965962726"
"2022-07-01","-3.59880917028108","-3.437875632941991","-0.16093360930654452"
"2022-10-01","-3.65710728514878","-3.5198682813799174","-0.1372390718305318"
"2023-01-01","-3.71295002623624","-3.5988949441534825","-0.1140550470727137"
"2023-04-01","-3.75202966845567","-3.6728592846981183","-0.07917037266577316"
"2023-07-01","-3.7919531827513","-3.7391673522736752","-0.05278573457935213"
