run,model,data_spec,prior_spec,constraint_spec,parameter,unit,mean,sd,ci_2.5,ci_97.5
hsa_full_output_gap_hp_baseline_restricted_kappa_20260623_111902,hsa_full,output_gap_hp,baseline,restricted_kappa,delta,change in kappa_t per +10 log-point Nbar deviation,-0.011231073012576365,0.018264202224741743,-0.04687784520266268,0.02430767213439897
hsa_full_output_gap_hp_baseline_restricted_kappa_20260623_111902,hsa_full,output_gap_hp,baseline,restricted_kappa,gamma,change in theta_t per +10 log-point Nbar deviation,-0.002779330430030347,0.020064165874198427,-0.04282769484620511,0.03599442785923343
hsa_full_output_gap_hp_baseline_restricted_kappa_20260623_111902,hsa_full,output_gap_hp,baseline,restricted_kappa,kappa_0,inflation points per x point at average Nbar,0.13883720949489786,0.052031585236807266,0.03534148419512691,0.23931490319352228
hsa_full_output_gap_hp_baseline_restricted_kappa_20260623_111902,hsa_full,output_gap_hp,baseline,restricted_kappa,kappa_t,inflation points per x point,0.13983854571310564,0.05842599555717957,0.024140802526835838,0.2544689849415775
hsa_full_output_gap_hp_baseline_restricted_kappa_20260623_111902,hsa_full,output_gap_hp,baseline,restricted_kappa,lambda_ez,shock loading,0.09875435983332924,0.11434666277635337,-0.13123922932214976,0.3255023550774916
hsa_full_output_gap_hp_baseline_restricted_kappa_20260623_111902,hsa_full,output_gap_hp,baseline,restricted_kappa,n,Nbar drift in ten-log-point units,-0.008296703946375885,0.02641365302133346,-0.061084298760907034,0.04399710398787305
hsa_full_output_gap_hp_baseline_restricted_kappa_20260623_111902,hsa_full,output_gap_hp,baseline,restricted_kappa,phi_1,AR(1) coefficient,0.8966351972674866,0.037258434579595885,0.8252585693953269,0.9719539972836514
hsa_full_output_gap_hp_baseline_restricted_kappa_20260623_111902,hsa_full,output_gap_hp,baseline,restricted_kappa,rho,reported physical units,0.09385229811670939,0.10766763509706119,-0.12580943040843903,0.30416068302941374
hsa_full_output_gap_hp_baseline_restricted_kappa_20260623_111902,hsa_full,output_gap_hp,baseline,restricted_kappa,rho_1,AR(2) coefficient,0.967043301332465,0.1291853825720874,0.7007971968410199,1.2083424403516478
hsa_full_output_gap_hp_baseline_restricted_kappa_20260623_111902,hsa_full,output_gap_hp,baseline,restricted_kappa,rho_2,AR(2) coefficient,-0.05063479366275587,0.11499903803177833,-0.2761607014545082,0.17700262713730425
hsa_full_output_gap_hp_baseline_restricted_kappa_20260623_111902,hsa_full,output_gap_hp,baseline,restricted_kappa,sigma_e,reported physical units,0.6098274586068224,0.04132225119545201,0.5348111081744015,0.6968540731125318
hsa_full_output_gap_hp_baseline_restricted_kappa_20260623_111902,hsa_full,output_gap_hp,baseline,restricted_kappa,sigma_eps,reported physical units,0.2805075000931074,0.023443174351647274,0.23909386577847566,0.32865672694284653
hsa_full_output_gap_hp_baseline_restricted_kappa_20260623_111902,hsa_full,output_gap_hp,baseline,restricted_kappa,sigma_u,reported physical units,0.2739694213875883,0.02279906272488645,0.2331811251260382,0.3216009624966556
hsa_full_output_gap_hp_baseline_restricted_kappa_20260623_111902,hsa_full,output_gap_hp,baseline,restricted_kappa,sigma_zeta,reported physical units,0.5856601322184535,0.037694330430481295,0.5192725600239095,0.6623195143572446
hsa_full_output_gap_hp_baseline_restricted_kappa_20260623_111902,hsa_full,output_gap_hp,baseline,restricted_kappa,theta_0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.21958953018105398,0.1322861856164681,0.015012388721930413,0.5177024691334041
hsa_full_output_gap_hp_baseline_restricted_kappa_20260623_111902,hsa_full,output_gap_hp,baseline,restricted_kappa,theta_t,reported physical units,0.219883728246607,0.1349653536770379,0.006833451207865088,0.5238223830411579
hsa_steady_output_gap_hp_baseline_20260623_105155,hsa_steady,output_gap_hp,baseline,unrestricted,Nbar,reported physical units,0.004900385263525212,1.704103306664207,-3.0187412415165613,2.567774441047841
hsa_steady_output_gap_hp_baseline_20260623_105155,hsa_steady,output_gap_hp,baseline,unrestricted,Nhat,reported physical units,-0.004820934716317669,0.8233471031120921,-1.7236288121872367,1.689025151084976
hsa_steady_output_gap_hp_baseline_20260623_105155,hsa_steady,output_gap_hp,baseline,unrestricted,alpha,share,0.6638347641736467,0.052276825764399557,0.5611593892183735,0.7616210233417637
hsa_steady_output_gap_hp_baseline_20260623_105155,hsa_steady,output_gap_hp,baseline,unrestricted,delta,change in kappa_t per +10 log-point Nbar deviation,-0.01054362019021758,0.017363264353245048,-0.04406506134927982,0.024343921098581994
hsa_steady_output_gap_hp_baseline_20260623_105155,hsa_steady,output_gap_hp,baseline,unrestricted,kappa_0,inflation points per x point at average Nbar,0.13533965048350402,0.04715203894823507,0.042038722339489076,0.2247513194477487
hsa_steady_output_gap_hp_baseline_20260623_105155,hsa_steady,output_gap_hp,baseline,unrestricted,kappa_t,inflation points per x point,0.13549671091589413,0.056556029753091604,0.019932516985021347,0.2416892783742342
hsa_steady_output_gap_hp_baseline_20260623_105155,hsa_steady,output_gap_hp,baseline,unrestricted,lambda_ez,shock loading,0.1274215848057843,0.11417612388913902,-0.09773632798997006,0.35052714519665024
hsa_steady_output_gap_hp_baseline_20260623_105155,hsa_steady,output_gap_hp,baseline,unrestricted,n,Nbar drift in ten-log-point units,-0.020492848190734256,0.031148941939788056,-0.08270688957708838,0.0412441078338814
hsa_steady_output_gap_hp_baseline_20260623_105155,hsa_steady,output_gap_hp,baseline,unrestricted,phi_1,AR(1) coefficient,0.894940826647604,0.037623575749545383,0.8216576561405112,0.9682906119112064
