run,model,data_spec,prior_spec,constraint_spec,n_transform,competition_measurement_frequency,kappa_mean,kappa_ci_2.5,kappa_ci_97.5,kappa_0_mean,kappa_0_ci_2.5,kappa_0_ci_97.5,delta_mean,delta_ci_2.5,delta_ci_97.5,kappa_t_overall_mean,kappa_t_start_mean,kappa_t_end_mean
hsa_steady_unemployment_gap_core_end_2019_baseline_20260709_170948,hsa_steady,unemployment_gap_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.05216879202069043,0.01701546163144231,0.08995003572981825,0.022737561850835166,0.009334103080881262,0.03910750695455276,0.05863186931097872,0.12116674892842742,-0.0046886908043811655
hsa_steady_unemployment_gap_core_exclude_covid_baseline_20260709_170334,hsa_steady,unemployment_gap_core_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.05101027278230907,0.01659582341433812,0.08717345461996566,0.022435168776191956,0.00972425867250683,0.03835191379627471,0.05794522026959713,0.12127420734459993,-0.006085583649364661
hsa_steady_unemployment_gap_core_full_baseline_20260709_165648,hsa_steady,unemployment_gap_core_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.05143212280079951,0.01514456491673509,0.08791275801742449,0.022661862455434237,0.009864522634375282,0.03929876932682573,0.05787019417486496,0.12021224285709443,-0.0052332521611903535
hsa_steady_unemployment_gap_core_post_2008_baseline_20260709_170305,hsa_steady,unemployment_gap_core_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.006461093439402431,-0.06659017609096501,0.08353403892062457,0.0014265368757398588,-0.0373453341250203,0.04161260521768765,0.006590138178524198,0.007005983586627334,0.00617449298594763
hsa_steady_unemployment_gap_core_pre_2008_baseline_20260709_170012,hsa_steady,unemployment_gap_core_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.060852401989192145,-0.022288779556129058,0.13803741980272186,0.021956602009976543,-0.007546823651095755,0.04962165582365232,0.0674137859794192,0.12019850451244121,0.013548277631296736
hsa_steady_unemployment_gap_core_start_1988_baseline_20260709_170701,hsa_steady,unemployment_gap_core_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.028693887779437786,-0.017759053566780127,0.07957251948959045,0.010591642759939197,-0.01029745966619134,0.03190221763443804,0.031641339592453646,0.061369842108989395,0.0018526420940461513
hsa_steady_unemployment_gap_end_2019_baseline_20260623_033707,hsa_steady,unemployment_gap_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.08972369097197251,0.010809521535388777,0.17590271096232005,0.029070456350388393,0.0012634038106581155,0.05620209810622891,0.09051801282647169,0.12216262821767337,0.004228375178380951
hsa_steady_unemployment_gap_exclude_covid_baseline_20260623_033059,hsa_steady,unemployment_gap_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.09130556408105864,0.010745903413617914,0.17861771344060226,0.028687493231885484,-3.492084715902889e-05,0.05644403812763058,0.09185158764807577,0.12370424928739138,0.006272830950918879
hsa_steady_unemployment_gap_full_baseline_20260623_032417,hsa_steady,unemployment_gap_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.09129553734684104,0.012572957661411982,0.17570102336232424,0.028689575637517128,0.0006418782486355377,0.05560898589901062,0.09245494106689,0.12404640361219756,0.006473679110186149
hsa_steady_unemployment_gap_post_2008_baseline_20260623_033030,hsa_steady,unemployment_gap_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,-0.01866421149617214,-0.14135603282264375,0.11052992048325379,0.00111390080954911,-0.03965486794344765,0.04233951423963679,-0.018548427215104753,-0.01398277732089579,-0.019182864492402005
hsa_steady_unemployment_gap_pre_2008_baseline_20260623_032740,hsa_steady,unemployment_gap_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.16189179004022575,0.07513904599512267,0.24812700329870685,0.0038962026418056695,-0.03451782860907352,0.042819724814301394,0.16203078501956128,0.16896561950364256,0.15070047888372623
hsa_steady_unemployment_gap_start_1988_baseline_20260623_033422,hsa_steady,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.007855516056364082,-0.082723242913629,0.1017446091390202,0.007464224618884813,-0.02414102239520301,0.04045042378432465,0.007819429434224846,0.020545448721954025,-0.011495609509039162
