prior,model,data_spec,n_transform,parameter,mean,median,ci_2.5,ci_97.5,p_gt_0,p_lt_0,conclusion
weak,hsa_full,output_gap_bn_core,log100_centered10,delta,0.013421284015018013,0.013524435520569601,-0.009437821112149069,0.03670901388925056,0.8846875,0.1153125,
weak,hsa_full,output_gap_bn_core,log100_centered10,theta_0,0.054333579134241215,0.05270848662778104,-0.02828515182440401,0.15097090685650172,0.894375,0.105625,
weak,hsa_full,output_gap_bn_core,log100_centered10,gamma,-0.08984846095288061,-0.08917832445418859,-0.13996406313100918,-0.04257095617174265,0.000625,0.999375,
weak,hsa_full,output_gap_bn_core,log100_centered10,rho_1,1.873510565139918,1.874203649397025,1.786222255878478,1.9528430534292087,1.0,0.0,
weak,hsa_full,output_gap_bn_core,log100_centered10,rho_2,-0.8859869719342945,-0.8869224749578364,-0.9644355000898508,-0.8008516262227745,0.0,1.0,
weak,hsa_full,output_gap_bn_core,log100_centered10,sigma_e,0.286284843807875,0.2854059431005995,0.25035843706233774,0.3275116717548168,1.0,0.0,
weak,hsa_full,output_gap_bn_core,log100_centered10,sigma_zeta,0.5789896182840905,0.5769987580440608,0.5102840171454315,0.6560614146367093,1.0,0.0,
weak,hsa_full,output_gap_bn_core,log100_centered10,sigma_u,0.04437190459725743,0.04403645953705348,0.036998605695805376,0.05349653599382017,1.0,0.0,
weak,hsa_full,output_gap_bn_core,log100_centered10,sigma_eps,0.030853635255038682,0.030655822886529245,0.024295454408652,0.038554020545103145,1.0,0.0,
weak,hsa_full,output_gap_bn_core,log100_centered10,sigma_N,0.026814639076773047,0.026222226580330618,0.021034950559090354,0.03599989673368035,1.0,0.0,
tight,hsa_full,output_gap_bn_core,log100_centered10,alpha,0.7278952313790054,0.727528661538261,0.6240782902831308,0.8338050046226165,1.0,0.0,
tight,hsa_full,output_gap_bn_core,log100_centered10,kappa_0,0.026838992944587324,0.026837072329583104,-0.02763563903612447,0.08228957386921577,0.8271875,0.1728125,
tight,hsa_full,output_gap_bn_core,log100_centered10,delta,-0.0006186699887456348,3.668357932097965e-05,-0.020692569862672826,0.016232981855496906,0.5015625,0.4984375,
tight,hsa_full,output_gap_bn_core,log100_centered10,theta_0,0.04644182597655919,0.02083924031944121,-0.08746237057729306,0.27267194195374445,0.6275,0.3725,
tight,hsa_full,output_gap_bn_core,log100_centered10,gamma,-0.004145095424579113,-0.004105430731983871,-0.023157360730583776,0.015679144469007898,0.3309375,0.6690625,
tight,hsa_full,output_gap_bn_core,log100_centered10,rho_1,0.8425556703974294,0.8753333096706966,0.3933351141773997,1.229054179130526,1.0,0.0,
tight,hsa_full,output_gap_bn_core,log100_centered10,rho_2,-0.24957033402984868,-0.23624222194980654,-0.49279699589032894,-0.03755416434979169,0.009375,0.990625,
tight,hsa_full,output_gap_bn_core,log100_centered10,sigma_e,0.37265984486901405,0.37174672913949636,0.3290496888389811,0.4242735862105062,1.0,0.0,
tight,hsa_full,output_gap_bn_core,log100_centered10,sigma_zeta,0.5792409778123574,0.5769401833448256,0.5109300742282721,0.6577800900858387,1.0,0.0,
tight,hsa_full,output_gap_bn_core,log100_centered10,sigma_u,0.08080853774732556,0.07900329711580215,0.05540322804844433,0.11421821600957033,1.0,0.0,
tight,hsa_full,output_gap_bn_core,log100_centered10,sigma_eps,0.1033595380279003,0.1092843520435445,0.05338697400647894,0.15576182691562904,1.0,0.0,
tight,hsa_full,output_gap_bn_core,log100_centered10,sigma_N,0.08908966641958332,0.08212048253161958,0.051981184505609776,0.16428018030513905,1.0,0.0,
all,,output_gap_bn_core,,delta_robustness,,,,,,,robust
all,,output_gap_bn_core,,theta_0_robustness,,,,,,,robust
all,,output_gap_bn_core,,gamma_robustness,,,,,,,sensitive
