run,model,data_spec,prior_spec,constraint_spec,n_transform,competition_measurement_frequency,kappa_mean,kappa_ci_2.5,kappa_ci_97.5,kappa_0_mean,kappa_0_ci_2.5,kappa_0_ci_97.5,delta_mean,delta_ci_2.5,delta_ci_97.5,kappa_t_overall_mean,kappa_t_start_mean,kappa_t_end_mean
hsa_dynamic_output_gap_bn_exclude_covid_baseline_20260623_030031,hsa_dynamic,output_gap_bn_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.09056863535431614,-0.002118830889491894,0.18488184103637445,,,,,,,,,
hsa_dynamic_output_gap_bn_full_baseline_20260623_025331,hsa_dynamic,output_gap_bn_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.08384231578978549,-0.009354839737505578,0.18069738589040785,,,,,,,,,
hsa_dynamic_output_gap_bn_post_2008_baseline_20260623_025958,hsa_dynamic,output_gap_bn_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.15526796143617463,-0.046437939524370885,0.35605849738343603,,,,,,,,,
hsa_dynamic_output_gap_bn_pre_2008_baseline_20260623_025701,hsa_dynamic,output_gap_bn_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.06859285580272285,-0.02146090374674712,0.16166864163296385,,,,,,,,,
hsa_dynamic_output_gap_bn_start_1988_baseline_20260623_030401,hsa_dynamic,output_gap_bn_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.13097289608846474,0.010177061693139111,0.25867335986000883,,,,,,,,,
hsa_dynamic_output_gap_hp_baseline_20260702_072825,hsa_dynamic,output_gap_hp,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.13662254146623795,0.041781144382022045,0.23219529708184306,,,,,,,,,
hsa_dynamic_output_gap_hp_baseline_20260702_142735,hsa_dynamic,output_gap_hp,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.13662254146623795,0.041781144382022045,0.23219529708184306,,,,,,,,,
hsa_dynamic_output_gap_hp_baseline_annual_q4_20260702_194330,hsa_dynamic,output_gap_hp,baseline,unrestricted,log100_centered10,annual_q4,0.14255651335210798,0.05516624785484481,0.22968971812854913,,,,,,,,,
hsa_dynamic_output_gap_hp_baseline_restricted_kappa_20260623_111531,hsa_dynamic,output_gap_hp,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,0.14135342471701015,0.04964813408822545,0.2378368328810874,,,,,,,,,
hsa_dynamic_unemployment_gap_baseline_20260702_074535,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.05211811704510079,-0.02308140687348584,0.14064791365249923,,,,,,,,,
hsa_dynamic_unemployment_gap_baseline_20260702_150523,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.05211811704510079,-0.02308140687348584,0.14064791365249923,,,,,,,,,
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_114853,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.039857172420784535,-0.040299230482059016,0.11064993163119227,,,,,,,,,
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_200248,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,0.05835914695839402,-0.005593607369908784,0.12186950839860082,,,,,,,,,
hsa_dynamic_unemployment_gap_baseline_restricted_kappa_20260623_001225,hsa_dynamic,unemployment_gap,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,0.0866184128667742,0.00846393487812295,0.18939164263154853,,,,,,,,,
