run,model,data_spec,prior_spec,constraint_spec,n_transform,parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
hsa_steady_unemployment_gap_baseline_20260622_230549,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,kappa_t_mean,0.0931751347161672,0.03221116779022038,0.030588588330411906,0.15013189140041566,0.0050930328155474585,40.0,40.0,1.0255926257737429,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230549,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,kappa_t_start,0.1357781239154046,0.04779507222800332,0.03299764231776102,0.21062912707174405,0.0075570644586374506,40.0,40.0,0.9766784842900474,bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230549,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,kappa_t_mid,0.126912277233209,0.04371480371947968,0.03730737734068418,0.19492899661195323,0.006911917361037808,40.0,40.0,1.006528374809295,bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230549,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,kappa_t_end,-0.00309401995647747,0.046784043497353295,-0.10061424974360934,0.09010935402372412,0.008249073515403558,32.165118918518935,40.0,0.9900137483373198,bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230549,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,phi_1,0.9464616848413001,0.022481003984928107,0.9126207508598054,0.9983367230321354,0.003554558833984723,40.0,40.0,1.0856854928033084,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230549,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,rho_1,0.8075757665931569,0.10478828222742288,0.6410789620584225,0.9956722783668063,0.018247086366494192,32.979068666590585,21.729615248852806,0.9756585755673892,bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230549,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,rho_2,0.07831990342320944,0.12515968833477814,-0.17254858063899964,0.24298755775355493,0.032615548058158035,14.725823295390638,40.0,0.9976135067895581,bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230549,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,n,-0.028084935219245828,0.03164978980335932,-0.09383723755791734,0.01777997146476966,0.0063940253882435695,24.501515481797266,40.0,0.975948178702504,bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230549,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,lambda_ez,0.057548156977341024,0.0978709288748416,-0.11981529321319033,0.2475143811451008,0.015474752598041997,40.0,40.0,0.9993995026360162,bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230549,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,rho,0.050858649180959684,0.08911980044265345,-0.12986828306572631,0.22229502381198182,0.014091077700923353,40.0,40.0,0.9918863563572725,bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230549,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,sigma_eta,0.6390881878430589,0.04141565151017356,0.565548890553605,0.7183263952495657,0.006548389477597032,40.0,24.207628784899725,1.070686649205222,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230549,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,sigma_e,0.6425513358535945,0.043241773763491226,0.5687249435717009,0.7245445343707991,0.006837124757917172,40.0,24.207628784899725,1.0759156482994907,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230549,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,sigma_zeta,0.6018021048442999,0.04138788570374824,0.5268416740048254,0.6650585011088275,0.006543999318128265,40.0,40.0,0.9768595396451393,bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230549,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,sigma_u,0.33325709119367447,0.027670976583712252,0.2717517311410727,0.37514119811190266,0.005574868514103603,24.63654007946033,40.0,1.012222745020802,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230549,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,sigma_eps,0.3264838529836968,0.03199134040700838,0.2769525507448665,0.39287835282247513,0.007428191613848819,18.548067934696956,23.291713961407492,0.9779422629538727,bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230549,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,sigma_N,0.29185428066570485,0.02798398201070941,0.2563137377947796,0.3424030531485825,0.007152161385744121,15.3089151063687,21.729615248852806,1.0087996426973478,bulk ESS < 400; tail ESS < 400
